GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-assinatura,com.empresa.assinatura.infrastructure.scheduler,RenovacaoAgendadaScheduler,20,112,0,2,8,38,1,11,1,10
ms-assinatura,com.empresa.assinatura.infrastructure.adapter.out.persistence,AssinaturaPersistenceAdapter,0,74,0,0,0,7,0,6,0,6
ms-assinatura,com.empresa.assinatura.infrastructure.config,ReactorTracingConfig,5,0,0,0,3,0,2,0,2,0
ms-assinatura,com.empresa.assinatura.infrastructure.config,SwaggerConfig,17,0,0,0,6,0,2,0,2,0
ms-assinatura,com.empresa.assinatura.infrastructure.config,RedisConfig,28,0,0,0,10,0,2,0,2,0
ms-assinatura,com.empresa.assinatura.infrastructure.config,KafkaConfig,137,0,0,0,29,0,5,0,5,0
ms-assinatura,com.empresa.assinatura.infrastructure.config,SchedulerConfig,15,0,0,0,5,0,2,0,2,0
ms-assinatura,com.empresa.assinatura.infrastructure.config,CorsConfig,29,0,0,0,8,0,2,0,2,0
ms-assinatura,com.empresa.assinatura.infrastructure.config,WebClientConfig,8,0,0,0,4,0,2,0,2,0
ms-assinatura,com.empresa.assinatura.application.usecase,RenovarAssinaturaUseCaseImpl,0,63,0,0,0,19,0,5,0,5
ms-assinatura,com.empresa.assinatura.application.usecase,ProcessarResultadoPagamentoUseCaseImpl,4,154,1,3,1,42,1,12,0,11
ms-assinatura,com.empresa.assinatura.application.usecase,CancelarAssinaturaUseCaseImpl,0,83,0,2,0,18,0,8,0,7
ms-assinatura,com.empresa.assinatura.application.usecase,BuscarAssinaturaUseCaseImpl,0,141,0,0,0,24,0,11,0,11
ms-assinatura,com.empresa.assinatura.application.usecase,CriarAssinaturaUseCaseImpl,6,136,0,4,0,25,1,15,1,13
ms-assinatura,com.empresa.assinatura.application.dto,CursorListaResponse,0,56,0,6,0,7,0,7,0,4
ms-assinatura,com.empresa.assinatura.application.dto,RenovacaoSolicitadaEvent,0,15,0,0,0,1,0,1,0,1
ms-assinatura,com.empresa.assinatura.application.dto,PagamentoResultadoEvent,0,12,0,0,0,1,0,1,0,1
ms-assinatura,com.empresa.assinatura.application.dto,AssinaturaResponse,0,24,0,0,0,1,0,1,0,1
ms-assinatura,com.empresa.assinatura.application.dto,CriarAssinaturaRequest,0,9,0,0,0,1,0,1,0,1
ms-assinatura,com.empresa.assinatura.infrastructure.adapter.in.kafka,PagamentoResultadoConsumer,0,49,0,0,0,12,0,5,0,5
ms-assinatura,com.empresa.assinatura.infrastructure.handler,GlobalExceptionHandler,12,155,1,5,2,32,2,13,1,11
ms-assinatura,com.empresa.assinatura,AssinaturaApplication,8,0,0,0,3,0,2,0,2,0
ms-assinatura,com.empresa.assinatura.infrastructure.adapter.in.rest,AssinaturaController,0,54,0,0,0,12,0,6,0,6
ms-assinatura,com.empresa.assinatura.infrastructure.adapter.out.cache,AssinaturaCacheAdapter,0,69,0,0,0,13,0,7,0,7
ms-assinatura,com.empresa.assinatura.infrastructure.exception,UsuarioNaoEncontradoException,0,6,0,0,0,2,0,1,0,1
ms-assinatura,com.empresa.assinatura.infrastructure.exception,AssinaturaJaAtivaException,0,6,0,0,0,2,0,1,0,1
ms-assinatura,com.empresa.assinatura.infrastructure.exception,AssinaturaNaoEncontradaException,0,6,0,0,0,2,0,1,0,1
ms-assinatura,com.empresa.assinatura.infrastructure.exception,AssinaturaNaoCancelaveException,0,6,0,0,0,2,0,1,0,1
ms-assinatura,com.empresa.assinatura.infrastructure.exception,PlanoInvalidoException,0,5,0,0,0,2,0,1,0,1
ms-assinatura,com.empresa.assinatura.infrastructure.adapter.out.kafka,AssinaturaProducer,0,70,0,0,0,16,0,7,0,7
ms-assinatura,com.empresa.assinatura.domain.model,Plano,3,49,0,0,2,9,0,4,0,4
ms-assinatura,com.empresa.assinatura.domain.model,StatusAssinatura,0,27,0,0,0,5,0,1,0,1
ms-assinatura,com.empresa.assinatura.domain.model,Assinatura,3,146,0,2,1,46,1,19,1,18
ms-assinatura,com.empresa.assinatura.infrastructure.mapper,AssinaturaMapperImpl,184,0,6,0,57,0,7,0,4,0
ms-assinatura,com.empresa.assinatura.infrastructure.adapter.out.client,UsuarioWebClient,41,0,0,0,10,0,4,0,4,0
